Epoch: 10, Test Loss: 0.6830, Acc: 0.7228, Prec: 0.3032, Rec: 0.3025, F1: 0.2413
Epoch: 20, Test Loss: 0.5603, Acc: 0.7964, Prec: 0.4465, Rec: 0.3715, F1: 0.3538
Epoch: 30, Test Loss: 0.4501, Acc: 0.8338, Prec: 0.4142, Rec: 0.3697, F1: 0.3518
Epoch: 40, Test Loss: 0.5215, Acc: 0.8235, Prec: 0.5190, Rec: 0.3686, F1: 0.3679
Epoch: 50, Test Loss: 0.5151, Acc: 0.8189, Prec: 0.4607, Rec: 0.3812, F1: 0.3628
Epoch: 60, Test Loss: 0.6285, Acc: 0.8205, Prec: 0.5213, Rec: 0.3619, F1: 0.3511
Epoch: 70, Test Loss: 0.5842, Acc: 0.8184, Prec: 0.4846, Rec: 0.4059, F1: 0.3970
Epoch: 80, Test Loss: 0.6642, Acc: 0.8046, Prec: 0.4195, Rec: 0.4098, F1: 0.3725
Epoch: 90, Test Loss: 0.7090, Acc: 0.8082, Prec: 0.4728, Rec: 0.3807, F1: 0.3515
Epoch: 100, Test Loss: 0.8161, Acc: 0.8220, Prec: 0.4587, Rec: 0.3404, F1: 0.3283
