Epoch: 10, Test Loss: 0.9612, Acc: 0.6588, Prec: 0.1675, Rec: 0.0855, F1: 0.0912
Epoch: 20, Test Loss: 1.0025, Acc: 0.6465, Prec: 0.1739, Rec: 0.1443, F1: 0.1290
Epoch: 30, Test Loss: 1.3622, Acc: 0.6358, Prec: 0.1633, Rec: 0.1456, F1: 0.1092
Epoch: 40, Test Loss: 1.6760, Acc: 0.6005, Prec: 0.1575, Rec: 0.1773, F1: 0.1284
Epoch: 50, Test Loss: 1.6683, Acc: 0.6281, Prec: 0.0932, Rec: 0.0732, F1: 0.0553
Epoch: 60, Test Loss: 1.5032, Acc: 0.5995, Prec: 0.1609, Rec: 0.1942, F1: 0.1397
Epoch: 70, Test Loss: 1.5670, Acc: 0.6225, Prec: 0.1792, Rec: 0.1545, F1: 0.1362
Epoch: 80, Test Loss: 1.7927, Acc: 0.5816, Prec: 0.1677, Rec: 0.2086, F1: 0.1545
Epoch: 90, Test Loss: 2.1368, Acc: 0.5934, Prec: 0.1615, Rec: 0.1904, F1: 0.1321
Epoch: 100, Test Loss: 1.8575, Acc: 0.5985, Prec: 0.1723, Rec: 0.1888, F1: 0.1387
