Epoch: 10, Test Loss: 1.4794, Acc: 0.6598, Prec: 0.1519, Rec: 0.0955, F1: 0.1115
Epoch: 20, Test Loss: 1.5323, Acc: 0.6425, Prec: 0.1644, Rec: 0.1340, F1: 0.1266
Epoch: 30, Test Loss: 1.7813, Acc: 0.6286, Prec: 0.1438, Rec: 0.0918, F1: 0.1030
Epoch: 40, Test Loss: 1.8809, Acc: 0.6138, Prec: 0.1246, Rec: 0.1021, F1: 0.0943
Epoch: 50, Test Loss: 1.9532, Acc: 0.6338, Prec: 0.1422, Rec: 0.1038, F1: 0.0999
Epoch: 60, Test Loss: 2.1624, Acc: 0.6199, Prec: 0.1328, Rec: 0.1161, F1: 0.1085
Epoch: 70, Test Loss: 1.9466, Acc: 0.6256, Prec: 0.1303, Rec: 0.1298, F1: 0.1119
Epoch: 80, Test Loss: 2.2517, Acc: 0.6199, Prec: 0.1567, Rec: 0.1227, F1: 0.1111
Epoch: 90, Test Loss: 2.0325, Acc: 0.6368, Prec: 0.1209, Rec: 0.0894, F1: 0.0892
Epoch: 100, Test Loss: 2.4987, Acc: 0.6225, Prec: 0.1308, Rec: 0.0867, F1: 0.0997
