Epoch: 10, Test Loss: 0.3835, Acc: 0.8696, Prec: 0.5422, Rec: 0.5251, F1: 0.5198
Epoch: 20, Test Loss: 0.4957, Acc: 0.8747, Prec: 0.5337, Rec: 0.4500, F1: 0.4724
Epoch: 30, Test Loss: 0.5586, Acc: 0.8803, Prec: 0.4179, Rec: 0.4444, F1: 0.4301
Epoch: 40, Test Loss: 0.6010, Acc: 0.8706, Prec: 0.5208, Rec: 0.4369, F1: 0.4505
Epoch: 50, Test Loss: 0.6421, Acc: 0.8818, Prec: 0.5542, Rec: 0.4960, F1: 0.4870
Epoch: 60, Test Loss: 0.7333, Acc: 0.8772, Prec: 0.5137, Rec: 0.4837, F1: 0.4834
Epoch: 70, Test Loss: 0.6378, Acc: 0.8777, Prec: 0.4800, Rec: 0.4390, F1: 0.4406
Epoch: 80, Test Loss: 0.6739, Acc: 0.8737, Prec: 0.5636, Rec: 0.4788, F1: 0.4882
Epoch: 90, Test Loss: 0.6743, Acc: 0.8870, Prec: 0.7066, Rec: 0.4920, F1: 0.5081
Epoch: 100, Test Loss: 0.6202, Acc: 0.8890, Prec: 0.5355, Rec: 0.5006, F1: 0.5007
