Epoch: 10, Test Loss: 0.3341, Acc: 0.8701, Prec: 0.5118, Rec: 0.4824, F1: 0.4912
Epoch: 20, Test Loss: 0.4239, Acc: 0.8788, Prec: 0.5553, Rec: 0.4917, F1: 0.4999
Epoch: 30, Test Loss: 0.4966, Acc: 0.8619, Prec: 0.4932, Rec: 0.4721, F1: 0.4633
Epoch: 40, Test Loss: 0.6202, Acc: 0.8772, Prec: 0.4933, Rec: 0.4673, F1: 0.4625
Epoch: 50, Test Loss: 0.5936, Acc: 0.8609, Prec: 0.4680, Rec: 0.4836, F1: 0.4678
Epoch: 60, Test Loss: 0.6342, Acc: 0.8706, Prec: 0.5521, Rec: 0.4481, F1: 0.4641
Epoch: 70, Test Loss: 0.7007, Acc: 0.8885, Prec: 0.6529, Rec: 0.4824, F1: 0.5170
Epoch: 80, Test Loss: 0.6441, Acc: 0.8742, Prec: 0.6462, Rec: 0.5415, F1: 0.5583
Epoch: 90, Test Loss: 0.6166, Acc: 0.8803, Prec: 0.6066, Rec: 0.4857, F1: 0.5106
Epoch: 100, Test Loss: 0.7404, Acc: 0.8824, Prec: 0.6003, Rec: 0.4649, F1: 0.4751
