Epoch: 10, Test Loss: 0.3828, Acc: 0.8552, Prec: 0.3910, Rec: 0.3934, F1: 0.3916
Epoch: 20, Test Loss: 0.3259, Acc: 0.8737, Prec: 0.6243, Rec: 0.3911, F1: 0.4106
Epoch: 30, Test Loss: 0.3711, Acc: 0.8568, Prec: 0.6330, Rec: 0.4451, F1: 0.4416
Epoch: 40, Test Loss: 0.3978, Acc: 0.8491, Prec: 0.4465, Rec: 0.4600, F1: 0.4344
Epoch: 50, Test Loss: 0.3620, Acc: 0.8604, Prec: 0.5228, Rec: 0.4778, F1: 0.4742
Epoch: 60, Test Loss: 0.3933, Acc: 0.8593, Prec: 0.5030, Rec: 0.4567, F1: 0.4773
Epoch: 70, Test Loss: 0.3745, Acc: 0.8634, Prec: 0.5619, Rec: 0.4608, F1: 0.4843
Epoch: 80, Test Loss: 0.4444, Acc: 0.8465, Prec: 0.4980, Rec: 0.5445, F1: 0.5139
Epoch: 90, Test Loss: 0.4230, Acc: 0.8675, Prec: 0.5538, Rec: 0.5419, F1: 0.5278
Epoch: 100, Test Loss: 0.4443, Acc: 0.8650, Prec: 0.5957, Rec: 0.4670, F1: 0.4707
