Epoch: 10, Test Loss: 0.3578, Acc: 0.8650, Prec: 0.4024, Rec: 0.3989, F1: 0.4006
Epoch: 20, Test Loss: 0.3941, Acc: 0.8251, Prec: 0.4091, Rec: 0.4264, F1: 0.4005
Epoch: 30, Test Loss: 0.3599, Acc: 0.8491, Prec: 0.4973, Rec: 0.4867, F1: 0.4794
Epoch: 40, Test Loss: 0.3467, Acc: 0.8629, Prec: 0.5776, Rec: 0.4902, F1: 0.4867
Epoch: 50, Test Loss: 0.3778, Acc: 0.8394, Prec: 0.4781, Rec: 0.4998, F1: 0.4602
Epoch: 60, Test Loss: 0.3762, Acc: 0.8737, Prec: 0.5516, Rec: 0.5363, F1: 0.5354
Epoch: 70, Test Loss: 0.4532, Acc: 0.8609, Prec: 0.5208, Rec: 0.4926, F1: 0.4896
Epoch: 80, Test Loss: 0.4174, Acc: 0.8650, Prec: 0.5513, Rec: 0.4981, F1: 0.5128
Epoch: 90, Test Loss: 0.5037, Acc: 0.8614, Prec: 0.4720, Rec: 0.4844, F1: 0.4755
Epoch: 100, Test Loss: 0.4286, Acc: 0.8660, Prec: 0.5117, Rec: 0.4736, F1: 0.4897
