Epoch: 10, Test Loss: 0.9556, Acc: 0.6527, F1: 0.1350
Epoch: 20, Test Loss: 1.2341, Acc: 0.6046, F1: 0.1733
Epoch: 30, Test Loss: 0.9911, Acc: 0.6506, F1: 0.2803
Epoch: 40, Test Loss: 1.3803, Acc: 0.6174, F1: 0.1726
Epoch: 50, Test Loss: 1.4282, Acc: 0.6343, F1: 0.1637
Epoch: 60, Test Loss: 1.6588, Acc: 0.6286, F1: 0.1357
Epoch: 70, Test Loss: 1.7213, Acc: 0.5847, F1: 0.1306
Epoch: 80, Test Loss: 1.3492, Acc: 0.6276, F1: 0.1708
Epoch: 90, Test Loss: 1.5210, Acc: 0.6246, F1: 0.1445
Epoch: 100, Test Loss: 1.9744, Acc: 0.6031, F1: 0.1142
